Source Node    	Target Node    	Interaction Source	Interaction Type
387939	MAGEA3	Bayes	Directed
THY1	HYAL3	Bayes	Directed
THY1	RTN4R	Bayes	Directed
GNAI1	LAMP2	Bayes	Directed
GNAI1	SH3GL3	Bayes	Directed
GNAI1	HSS00293720	Bayes	Directed
GNAI1	SPOCK3	Bayes	Directed
GNAI1	CHN2	Bayes	Directed
GNAI1	OMG	Bayes	Directed
GNAI1	RAPGEF5	Bayes	Directed
MACROD2	PLXNC1	Bayes	Directed
AK094909	AK021630	Bayes	Directed
GUCY1B3	SLC6A15	Bayes	Directed
GUCY1B3	BRMS1L	Bayes	Directed
GUCY1B3	SYT1	Bayes	Directed
GUCY1B3	C1orf128	Bayes	Directed
GUCY1B3	PRNP	Bayes	Directed
GUCY1B3	SLC4A10	Bayes	Directed
GUCY1B3	PAK3	Bayes	Directed
GUCY1B3	C3orf14	Bayes	Directed
Contig26975_RC	DENND2C	Bayes	Directed
Contig26975_RC	14-Sep	Bayes	Directed
AK055794	CIB4	Bayes	Directed
XM_212206	RBMXL2	Bayes	Directed
XM_212206	AK090992	Bayes	Directed
MAP7	GNAI1	Bayes	Directed
MAP7	NT5DC1	Bayes	Directed
MAP7	144577	Bayes	Directed
MAP7	ATG4C	Bayes	Directed
MAP7	Contig35596_RC	Bayes	Directed
MAP7	Contig43380_RC	Bayes	Directed
PGAP1	HSS00286167	Bayes	Directed
TMPRSS5	LRRC14	Bayes	Directed
TMPRSS5	RGR	Bayes	Directed
TMPRSS5	441172	Bayes	Directed
NPPB	LIN28B	Bayes	Directed
Contig45279_RC	HSS00143197	Bayes	Directed
MRPS30	HSS00137322	Bayes	Directed
MRPS30	SYNCRIP	Bayes	Directed
MRPS30	PCDHB3	Bayes	Directed
MRPS30	EPHX1	Bayes	Directed
84848	HSS00085965	Bayes	Directed
ANKRD22	ANKRD22	Bayes	Directed
ANKRD22	KIF20A	Bayes	Directed
ANKRD22	CALCA	Bayes	Directed
ANKRD22	CASP5	Bayes	Directed
CCDC34	RBM35A	Bayes	Directed
CCDC34	C8orf47	Bayes	Directed
CCDC34	CCNB1	Bayes	Directed
SEMA3C	HSS00164658	Bayes	Directed
CIITA	CEP55	Bayes	Directed
AMPD1	Contig36977_RC	Bayes	Directed
AMPD1	728626	Bayes	Directed
HIF1A	HSS00289922	Bayes	Directed
HIF1A	MOBKL1B	Bayes	Directed
HIF1A	TFRC	Bayes	Directed
HIF1A	SLC39A14	Bayes	Directed
HIF1A	NAMPT	Bayes	Directed
FERMT1	400941	Bayes	Directed
LYPLA1	PRKCI	Bayes	Directed
CPNE6	KCNIP1	Bayes	Directed
AF086164	RNMT	Bayes	Directed
AF085861	RMND5A	Bayes	Directed
hCT13594.3	CD2AP	Bayes	Directed
hCT13594.3	HSG00353883	Bayes	Directed
GRIK1	SPEF1	Bayes	Directed
PCBP4	C20orf117	Bayes	Directed
PCBP4	hCT1971143.1	Bayes	Directed
PCBP4	55066	Bayes	Directed
PCBP4	HIP1R	Bayes	Directed
MCOLN2	CLIC5	Bayes	Directed
PCSK2	COL10A1	Bayes	Directed
LGR4	PPAT	Bayes	Directed
LGR4	IL6ST	Bayes	Directed
LGR4	ITGAV	Bayes	Directed
AK096481	NMNAT2	Bayes	Directed
AK096481	TANC2	Bayes	Directed
C1orf95	CPNE6	Bayes	Directed
C1orf95	XM_211349	Bayes	Directed
ACTG2	LTBP1	Bayes	Directed
ACTG2	MGP	Bayes	Directed
ACTG2	HSG00413878	Bayes	Directed
ACTG2	PROCR	Bayes	Directed
Contig23338_RC	BC039382	Bayes	Directed
MYH7B	AK055324	Bayes	Directed
MYH7B	AL832610	Bayes	Directed
MYH7B	BC017920	Bayes	Directed
MYH7B	U90917	Bayes	Directed
MYH7B	AL832562	Bayes	Directed
MYH7B	BC039523	Bayes	Directed
ADAM15	AF052109	Bayes	Directed
OAS2	IFI27	Bayes	Directed
OR52A4	731559	Bayes	Directed
OR52A4	ASMT	Bayes	Directed
OR52A4	XM_212511	Bayes	Directed
OR52A4	ATAD4	Bayes	Directed
LST1	INPP5D	Bayes	Directed
LST1	PTAFR	Bayes	Directed
LST1	HAVCR2	Bayes	Directed
TMEM16B	AK057923	Bayes	Directed
TMEM16B	hCT2286560	Bayes	Directed
TMEM16B	AK057093	Bayes	Directed
C17orf78	AK026893	Bayes	Directed
C17orf78	MICALCL	Bayes	Directed
WNT9B	SFRP5	Bayes	Directed
WNT9B	CCDC110	Bayes	Directed
WNT9B	TMPRSS7	Bayes	Directed
WNT9B	AK057520	Bayes	Directed
WNT9B	XM_120519	Bayes	Directed
WNT9B	AK094347	Bayes	Directed
EXOC5	PPP4R2	Bayes	Directed
EXOC5	TBC1D23	Bayes	Directed
EXOC5	DNAJB4	Bayes	Directed
PARK2	DPT	Bayes	Directed
PARK2	HSS00334772	Bayes	Directed
SAMD4A	AK095096	Bayes	Directed
SAMD4A	CLCF1	Bayes	Directed
TNFRSF10B	RAB20	Bayes	Directed
TNFRSF10B	SLC16A3	Bayes	Directed
TNFRSF10B	EPHA2	Bayes	Directed
TMEM16C	MCTP1	Bayes	Directed
TMEM16C	AK095844	Bayes	Directed
TMEM16C	AK021689	Bayes	Directed
TMEM16C	ANKRD30B	Bayes	Directed
92482	ESR1	Bayes	Directed
92482	Contig39038_RC	Bayes	Directed
92482	TMBIM4	Bayes	Directed
THRB	ZNF804A	Bayes	Directed
THRB	ST8SIA3	Bayes	Directed
THRB	CD47	Bayes	Directed
THRB	RIMBP2	Bayes	Directed
THRB	GALNTL5	Bayes	Directed
AL832567	HSS00105008	Bayes	Directed
AL832567	BC029472	Bayes	Directed
KCNJ16	Contig46777_RC	Bayes	Directed
KCNJ16	VAV3	Bayes	Directed
FRMPD4	C6orf65	Bayes	Directed
FRMPD4	PCSK2	Bayes	Directed
FRMPD4	ADRBK2	Bayes	Directed
FRMPD4	GLRB	Bayes	Directed
FRMPD4	GPR158	Bayes	Directed
FRMPD4	ITGBL1	Bayes	Directed
FRMPD4	NBEA	Bayes	Directed
P2RY14	DDIT3	Bayes	Directed
P2RY14	TMEM204	Bayes	Directed
MLSTD2	BIRC3	Bayes	Directed
MLSTD2	hCT2251949	Bayes	Directed
MLSTD2	CSGALNACT2	Bayes	Directed
MLSTD2	TBKBP1	Bayes	Directed
MLSTD2	RYBP	Bayes	Directed
HSP90AA1	BAG2	Bayes	Directed
HSP90AA1	DNAJA1	Bayes	Directed
HSP90AA1	HSP90AA2	Bayes	Directed
JUNB	FOS	Bayes	Directed
JUNB	NR4A1	Bayes	Directed
ANKRD16	646875	Bayes	Directed
DCLK1	TBR1	Bayes	Directed
DCLK1	SERPINI1	Bayes	Directed
DCLK1	SMPX	Bayes	Directed
DCLK1	C19orf30	Bayes	Directed
DCLK1	134111	Bayes	Directed
DCLK1	ATP1B1	Bayes	Directed
HMGN2P7	648822	Bayes	Directed
ENSA	ZNF687	Bayes	Directed
ENSA	ELK4	Bayes	Directed
ENSA	Contig20600_RC	Bayes	Directed
ENSA	KCNJ4	Bayes	Directed
ENSA	HSS00209932	Bayes	Directed
136242	MIA3	Bayes	Directed
NUDT18	647121	Bayes	Directed
HLA-G	SPEF2	Bayes	Directed
IGF1	KIT	Bayes	Directed
IGF1	AK091058	Bayes	Directed
IGF1	RELN	Bayes	Directed
IGF1	AK095503	Bayes	Directed
TGFB2	FGFRL1	Bayes	Directed
TGFB2	TGFB2	Bayes	Directed
SLC6A15	NALCN	Bayes	Directed
SLC6A15	PCTK2	Bayes	Directed
SLC6A15	CEP170L	Bayes	Directed
PLN	MYOCD	Bayes	Directed
PLN	FHL5	Bayes	Directed
PLN	Contig44568_RC	Bayes	Directed
Contig50520_RC	PDGFD	Bayes	Directed
LHX3	PLA2G1B	Bayes	Directed
ENST00000298653	SLC7A5	Bayes	Directed
ENST00000298653	HSG00511899	Bayes	Directed
AK024921	BC030101	Bayes	Directed
AK024921	ZNF148	Bayes	Directed
AK024921	C5orf41	Bayes	Directed
AK024921	CMYA5	Bayes	Directed
AK024921	Contig31587_RC	Bayes	Directed
GPATCH2	HSS00012308	Bayes	Directed
NUAK2	LGALS12	Bayes	Directed
NUAK2	AK095544	Bayes	Directed
NUAK2	NGFR	Bayes	Directed
NUAK2	C11orf17	Bayes	Directed
Contig46597_RC	WNK4	Bayes	Directed
KIF12	AK094561	Bayes	Directed
LYSMD3	MTF2	Bayes	Directed
LYSMD3	CCNG1	Bayes	Directed
LYSMD3	Contig48799_RC	Bayes	Directed
Contig15190_RC	Contig44455_RC	Bayes	Directed
CLDN10	GPR98	Bayes	Directed
CLDN10	CHRDL1	Bayes	Directed
XM_212509	hCT1817914.1	Bayes	Directed
XM_212509	ZDHHC11	Bayes	Directed
Contig19822_RC	AK022424	Bayes	Directed
Contig19822_RC	AK025126	Bayes	Directed
Contig19822_RC	AF052176	Bayes	Directed
CNTN3	220594	Bayes	Directed
WIT1	MAGEA8	Bayes	Directed
ZNF493	ZNF595	Bayes	Directed
CEBPB	CD59	Bayes	Directed
CEBPB	BC041657	Bayes	Directed
MT1A	IL18R1	Bayes	Directed
MT1A	UPP1	Bayes	Directed
Contig40464_RC	SCG3	Bayes	Directed
SGK3	PARP4	Bayes	Directed
SCARA5	NOV	Bayes	Directed
SCARA5	C2orf40	Bayes	Directed
CCL4L2	CCL4L2	Bayes	Directed
CCL4L2	388439	Bayes	Directed
AL137425	FUT9	Bayes	Directed
AL137425	MGAT4C	Bayes	Directed
AL137425	283666	Bayes	Directed
AL137425	GABRA2	Bayes	Directed
LRRC37A	AF035297	Bayes	Directed
IPO5	NME7	Bayes	Directed
BMF	UMODL1	Bayes	Directed
BMF	WNT11	Bayes	Directed
COL6A3	CPZ	Bayes	Directed
COL6A3	COL1A2	Bayes	Directed
COL6A3	CYP1B1	Bayes	Directed
COL6A3	ACADL	Bayes	Directed
COL6A3	PCOLCE	Bayes	Directed
COL6A3	DSP	Bayes	Directed
COL6A3	FMOD	Bayes	Directed
COL6A3	PDZK1	Bayes	Directed
FOXC1	FOXC1	Bayes	Directed
FOXC1	PRELP	Bayes	Directed
B3GALNT1	RPS6KA3	Bayes	Directed
PPARA	ACTC1	Bayes	Directed
ASPRV1	WSCD1	Bayes	Directed
ASPRV1	RAB7B	Bayes	Directed
BC020883	HSS00338843	Bayes	Directed
TTLL11	IGFL2	Bayes	Directed
TTLL11	219848	Bayes	Directed
TTLL11	CYB561D2	Bayes	Directed
TTLL11	GPD1	Bayes	Directed
TTLL11	SIX4	Bayes	Directed
NP	BCL2A1	Bayes	Directed
GLIS3	HSS00233865	Bayes	Directed
GLIS3	COL4A4	Bayes	Directed
RSE_00000551358	XM_169393	Bayes	Directed
RSE_00000551358	XM_172345	Bayes	Directed
DNMT3B	HIST1H2BH	Bayes	Directed
TRIP6	NFATC1	Bayes	Directed
TRIP6	PLD2	Bayes	Directed
HMGB3	ENST00000297023	Bayes	Directed
SLMAP	INTS8	Bayes	Directed
SLMAP	CCDC132	Bayes	Directed
SLMAP	UBR1	Bayes	Directed
AK024927	SERPINA2	Bayes	Directed
AK024927	Contig10437_RC	Bayes	Directed
NECAB2	WFDC1	Bayes	Directed
GATM	AK057857	Bayes	Directed
GATM	ARL6IP6	Bayes	Directed
NEXN	Contig57822_RC	Bayes	Directed
C1orf96	SULT1C2	Bayes	Directed
EMX2OS	CPT1A	Bayes	Directed
EMX2OS	AHCYL2	Bayes	Directed
EMX2OS	MT3	Bayes	Directed
VCAM1	FOXC1	Bayes	Directed
BC030122	84709	Bayes	Directed
BC030122	SUV420H1	Bayes	Directed
PTGFR	Contig50520_RC	Bayes	Directed
PTGFR	SLC9A2	Bayes	Directed
PTGFR	NR2F2	Bayes	Directed
AF085832	hCT2314334	Bayes	Directed
Contig33888_RC	HSS00001972	Bayes	Directed
Contig33888_RC	AY007114	Bayes	Directed
Contig33888_RC	VRK2	Bayes	Directed
Contig33888_RC	HSS00060369	Bayes	Directed
IL1B	CH25H	Bayes	Directed
IL1B	IL1RN	Bayes	Directed
IL1B	RGS16	Bayes	Directed
RNASEH2B	TNIP2	Bayes	Directed
MKNK2	HSG00260311	Bayes	Directed
AURKAPS1	ABHD9	Bayes	Directed
AURKAPS1	Contig36052_RC	Bayes	Directed
HADHB	ANTXR1	Bayes	Directed
ASCL5	LRRTM1	Bayes	Directed
PLA2G2A	GPR128	Bayes	Directed
PLA2G2A	CLECL1	Bayes	Directed
PLA2G2A	SAA1	Bayes	Directed
PLA2G2A	HSS00048681	Bayes	Directed
PLA2G2A	HSS00124117	Bayes	Directed
ADAM33	FGF18	Bayes	Directed
HSS00250841	HSS00216951	Bayes	Directed
TUBAL3	SLC47A2	Bayes	Directed
SLCO2B1	LY75	Bayes	Directed
GJB6	LRRC16A	Bayes	Directed
GJB6	HPR	Bayes	Directed
GJB6	SLC6A11	Bayes	Directed
GJB6	CABLES1	Bayes	Directed
GJB6	LPAR3	Bayes	Directed
GJB6	RNF182	Bayes	Directed
CST4	SFXN5	Bayes	Directed
CST4	ALDOC	Bayes	Directed
CST4	HSG00399338	Bayes	Directed
BMP6	THSD4	Bayes	Directed
AL831855	AK021467	Bayes	Directed
AL831855	HSG00261212	Bayes	Directed
RAP1GDS1	Contig42006_RC	Bayes	Directed
RAB34	TLCD1	Bayes	Directed
RAB34	PLEKHO2	Bayes	Directed
RAB34	GLI2	Bayes	Directed
RAB34	TIMP3	Bayes	Directed
SMCR3	Contig43079_RC	Bayes	Directed
DIO2	HSS00250841	Bayes	Directed
DIO2	Contig38388_RC	Bayes	Directed
AL162044	AL512729	Bayes	Directed
CASP6	Contig41852	Bayes	Directed
CASP6	HELB	Bayes	Directed
CASP6	Contig23853_RC	Bayes	Directed
hCT1960556	hCT2316252	Bayes	Directed
hCT1641742.2	SLC2A3P1	Bayes	Directed
hCT1641742.2	SLC25A40	Bayes	Directed
SFXN5	C9orf165	Bayes	Directed
SFXN5	AIFM3	Bayes	Directed
SFXN5	CXCL14	Bayes	Directed
CHL1	PCDH7	Bayes	Directed
CHL1	HSG00515322	Bayes	Directed
CHL1	TRHDE	Bayes	Directed
CHL1	SCN2A	Bayes	Directed
CD93	641700	Bayes	Directed
CPZ	KRT19	Bayes	Directed
KRT5	CYP1A1	Bayes	Directed
SGCG	DGAT2	Bayes	Directed
XM_171840	hCT1821573.1	Bayes	Directed
HSS00181490	SERPINB5	Bayes	Directed
TM4SF1	ELTD1	Bayes	Directed
Contig18967_RC	AK000797	Bayes	Directed
Contig18967_RC	Contig67077_RC	Bayes	Directed
LILRB3	CSTA	Bayes	Directed
LILRB3	OSM	Bayes	Directed
LILRB3	SIGLEC7	Bayes	Directed
CMTM3	Contig29163_RC	Bayes	Directed
MIA	HSD11B2	Bayes	Directed
MIA	AK096780	Bayes	Directed
MIA	CYP39A1	Bayes	Directed
ACADSB	HSS00137371	Bayes	Directed
ACADSB	Contig38566_RC	Bayes	Directed
ACADSB	AK026119	Bayes	Directed
Contig26627_RC	Contig8581_RC	Bayes	Directed
PSMG4	AL355689	Bayes	Directed
AF052109	RYR2	Bayes	Directed
HSS00204106	HYDIN	Bayes	Directed
MT1X	Contig60553	Bayes	Directed
MT1X	MT1H	Bayes	Directed
MT1X	MT1CP	Bayes	Directed
SDF2L1	PDIA6	Bayes	Directed
GJA5	ENG	Bayes	Directed
AK055705	Contig37978_RC	Bayes	Directed
AK055705	TTC33	Bayes	Directed
AK055705	Contig37371_RC	Bayes	Directed
AK055705	CA389076	Bayes	Directed
AK055705	GPR22	Bayes	Directed
79804	EPB41L4A	Bayes	Directed
79804	XM_120214	Bayes	Directed
FBXL7	CAT	Bayes	Directed
XM_104054	SLC3A1	Bayes	Directed
29092	AF086337	Bayes	Directed
MRGPRX3	XM_062731	Bayes	Directed
MRGPRX3	MIA2	Bayes	Directed
PRX	CADM4	Bayes	Directed
PRX	TFF2	Bayes	Directed
PRX	113230	Bayes	Directed
PRX	GRID2IP	Bayes	Directed
ZMYM5	TEKT3	Bayes	Directed
ZMYM5	hCT1818343.1	Bayes	Directed
CD300LF	AF085843	Bayes	Directed
CD300LF	XM_093354	Bayes	Directed
HSS00296781	FST	Bayes	Directed
SMCHD1	Contig12803_RC	Bayes	Directed
SMCHD1	HSS00045980	Bayes	Directed
SMCHD1	Contig30671_RC	Bayes	Directed
SMCHD1	SMCHD1	Bayes	Directed
CMAH	Contig28180_RC	Bayes	Directed
CMAH	AF086115	Bayes	Directed
AF131770	RIPK5	Bayes	Directed
CFI	CP	Bayes	Directed
CFI	SERPINA5	Bayes	Directed
CFI	PLA1A	Bayes	Directed
AQP1	CHST6	Bayes	Directed
AQP1	SERPINA3	Bayes	Directed
AQP1	CSRP2	Bayes	Directed
XM_210328	HSG00282988	Bayes	Directed
AL157448	HSS00123916	Bayes	Directed
AL157448	AK024918	Bayes	Directed
AL157448	NFAT5	Bayes	Directed
AL157448	AK056840	Bayes	Directed
PTGDR	MEOX2	Bayes	Directed
PCDHB4	PCDHB11	Bayes	Directed
BGN	AEBP1	Bayes	Directed
SPAG6	TSPAN1	Bayes	Directed
AK022645	CCDC58	Bayes	Directed
PIP4K2A	HTATIP2	Bayes	Directed
PIP4K2A	154092	Bayes	Directed
PIP4K2A	HSS00376217	Bayes	Directed
PHLPP	SGK3	Bayes	Directed
PHLPP	HHATL	Bayes	Directed
PHLPP	S100B	Bayes	Directed
STEAP3	TUBAL3	Bayes	Directed
STEAP3	ASF1B	Bayes	Directed
TUBB3	C7orf52	Bayes	Directed
TUBB3	RELL2	Bayes	Directed
AK022258	Contig23913_RC	Bayes	Directed
AK022258	AK021801	Bayes	Directed
SHOX2	340094	Bayes	Directed
AK092472	ARHGAP29	Bayes	Directed
Contig28712_RC	MARVELD3	Bayes	Directed
Contig28712_RC	TFF3	Bayes	Directed
Contig28712_RC	FCGR2B	Bayes	Directed
HPSE	HSS00057998	Bayes	Directed
FCGR3A	FCGR3B	Bayes	Directed
FCGR3A	FCGR1B	Bayes	Directed
FLNC	FLNB	Bayes	Directed
FLNC	MRAP	Bayes	Directed
PFN1	GINS3	Bayes	Directed
NOXA1	HSG00275978	Bayes	Directed
NOXA1	GAL3ST2	Bayes	Directed
NOXA1	Contig32099_RC	Bayes	Directed
NOXA1	MPO	Bayes	Directed
NOXA1	AK093290	Bayes	Directed
C1orf112	NUF2	Bayes	Directed
HTRA1	S100A1	Bayes	Directed
HTRA1	ACSS1	Bayes	Directed
HTRA1	DIRC2	Bayes	Directed
266919	HOXA7	Bayes	Directed
266919	440068	Bayes	Directed
266919	HSS00133384	Bayes	Directed
GLI3	CHST7	Bayes	Directed
GLI3	SDC3	Bayes	Directed
PLXNA2	ZNF138	Bayes	Directed
ABCA2	STMN4	Bayes	Directed
ABCA2	UAP1L1	Bayes	Directed
ABCA2	CLTCL1	Bayes	Directed
ABCA2	ARHGAP23	Bayes	Directed
ABCA2	TTLL9	Bayes	Directed
ABCA2	AATK	Bayes	Directed
ABCA2	BIN1	Bayes	Directed
TMEM158	KCNG1	Bayes	Directed
TMEM158	HSG00215420	Bayes	Directed
TMEM158	CCIN	Bayes	Directed
TMEM158	XM_211349	Bayes	Directed
TMEM158	NNAT	Bayes	Directed
ARMET	XBP1	Bayes	Directed
ARMET	NGF	Bayes	Directed
AK055280	ARID3B	Bayes	Directed
SH3BGRL2	TMEM139	Bayes	Directed
SH3BGRL2	AF085933	Bayes	Directed
PODXL	FLT1	Bayes	Directed
CHST3	AL137331	Bayes	Directed
CHST3	hCT1824065.2	Bayes	Directed
CHST3	ATOH8	Bayes	Directed
SPATA13	SFT2D1	Bayes	Directed
SPATA13	TANC1	Bayes	Directed
PFKFB2	HSS00137371	Bayes	Directed
PGAM5	728485	Bayes	Directed
RGS17	ZBTB44	Bayes	Directed
RGS17	Contig40959_RC	Bayes	Directed
RGS17	HOMER1	Bayes	Directed
KPNB1	CENPH	Bayes	Directed
RASL11B	728193	Bayes	Directed
RASL11B	DGAT2	Bayes	Directed
FAM55C	RNF125	Bayes	Directed
AK000802	DIXDC1	Bayes	Directed
AK000802	AK056840	Bayes	Directed
MCF2	CADPS	Bayes	Directed
PCDH7	PPM2C	Bayes	Directed
PCDH7	CARHSP1	Bayes	Directed
DRP2	BC027906	Bayes	Directed
DRP2	284530	Bayes	Directed
S73397	SPARCL1	Bayes	Directed
ADRBK2	ENTPD3	Bayes	Directed
ADRBK2	158696	Bayes	Directed
AF085977	hCT1817914.1	Bayes	Directed
FERMT2	GNG12	Bayes	Directed
FERMT2	ACOX1	Bayes	Directed
FERMT2	HSG00238998	Bayes	Directed
FERMT2	PRKD3	Bayes	Directed
FERMT2	PALLD	Bayes	Directed
hCT1817914.1	EHMT1	Bayes	Directed
DYNC1I1	Contig43096_RC	Bayes	Directed
DYNC1I1	ROBO2	Bayes	Directed
DYNC1I1	GPRASP1	Bayes	Directed
DYNC1I1	TMEM111	Bayes	Directed
DYNC1I1	LGALS8	Bayes	Directed
HSS00382992	AK055364	Bayes	Directed
Contig9714_RC	PSORS1C2	Bayes	Directed
Contig9714_RC	hCT29914.1	Bayes	Directed
Contig9714_RC	LRRC15	Bayes	Directed
153688	153688	Bayes	Directed
153688	XM_212535	Bayes	Directed
ELAVL1	NBR2	Bayes	Directed
PIK3CB	DGKE	Bayes	Directed
PIK3CB	TUBGCP4	Bayes	Directed
PIK3CB	ANK2	Bayes	Directed
F13A1	TGFBI	Bayes	Directed
FILIP1L	KCNA5	Bayes	Directed
286002	BX487921	Bayes	Directed
AK091357	AF131795	Bayes	Directed
AK091357	RPL12	Bayes	Directed
BC039393	XM_169372	Bayes	Directed
MAPK8	DLK1	Bayes	Directed
TGFBR1	BNIP2	Bayes	Directed
RPS3A	RSE_00000647539	Bayes	Directed
RPS3A	hCT20524.3	Bayes	Directed
SIX1	SLC47A1	Bayes	Directed
PROX1	Contig31208_RC	Bayes	Directed
PROX1	CDK6	Bayes	Directed
PROX1	492311	Bayes	Directed
Contig35424_RC	HSS00008674	Bayes	Directed
Contig35424_RC	ACAD11	Bayes	Directed
SBNO2	TMEM149	Bayes	Directed
SBNO2	FAM70B	Bayes	Directed
SBNO2	LDLR	Bayes	Directed
HS6ST3	CAMK4	Bayes	Directed
HS6ST3	Contig58042_RC	Bayes	Directed
85027	Contig56093_RC	Bayes	Directed
FOXO1	LIFR	Bayes	Directed
FOXO1	AK022351	Bayes	Directed
FOXO1	LEPROT	Bayes	Directed
EBI2	MRC1	Bayes	Directed
EBI2	IL10	Bayes	Directed
EBI2	FGL2	Bayes	Directed
EBI2	RGS1	Bayes	Directed
493869	SNAI2	Bayes	Directed
C1orf51	PER1	Bayes	Directed
C1orf51	PER3	Bayes	Directed
C1orf51	OPRL1	Bayes	Directed
SNF1LK	FOXF1	Bayes	Directed
SNF1LK	AXUD1	Bayes	Directed
CCK	CRYBB2	Bayes	Directed
OR7A5	PLA2G2A	Bayes	Directed
OR7A5	TBC1D28	Bayes	Directed
PRPF40A	DDX21	Bayes	Directed
PRPF40A	RAP1B	Bayes	Directed
PRPF40A	SERBP1	Bayes	Directed
PRPF40A	HAT1	Bayes	Directed
WDR40C	MKI67	Bayes	Directed
WDR40C	APOA1	Bayes	Directed
WDR40C	IGHA1	Bayes	Directed
WDR40C	ENST00000283964	Bayes	Directed
RGS7BP	LONRF2	Bayes	Directed
RGS7BP	CDH8	Bayes	Directed
RGS7BP	TSPAN5	Bayes	Directed
RGS7BP	CREG2	Bayes	Directed
RGS7BP	EPHA4	Bayes	Directed
RGS7BP	ANKRD20B	Bayes	Directed
RGS7BP	FAM130A2	Bayes	Directed
RGS7BP	HSG00518683	Bayes	Directed
RGS7BP	BMPR2	Bayes	Directed
RGS7BP	ANKH	Bayes	Directed
RGS7BP	GABRA1	Bayes	Directed
RGS7BP	ATP2B1	Bayes	Directed
QPCT	UBE2T	Bayes	Directed
QPCT	HCN1	Bayes	Directed
HSS00001922	AK054822	Bayes	Directed
OGN	SEMA3C	Bayes	Directed
OGN	SCARA5	Bayes	Directed
OGN	COL6A3	Bayes	Directed
OGN	PTGFR	Bayes	Directed
OGN	ITGBL1	Bayes	Directed
