Source Node    	Target Node    	Interaction Source	Interaction Type
KRAS	ARAF	Endometrial cancer	Not Directed
FN1	ITGB8	ECM-receptor interaction	Not Directed
ARAF	MAP2K1	Regulation of actin cytoskeleton	Not Directed
CDK1 (p34)	c-Src	"Histidine, proline, glutamate and glutamine metabolism"	Not Directed
TNFSF11	TNFRSF11A	Cytokine-cytokine receptor interaction	Not Directed
Beta-catenin	Lef-1	Arginine metabolism	Not Directed
Granzyme B	Caspase-3	Caspases cascade activation by granzyme and other signaling proteins	Not Directed
MAP2K5	MAPK7	Gap junction	Not Directed
NEUROD1	GCK	Maturity onset diabetes of the young	Not Directed
Beta-arrestin1	RalGDS	Tryptophan metabolism	Not Directed
FYN	TYROBP	Natural killer cell mediated cytotoxicity	Not Directed
PKA-cat (cAMP-dependent)	CREM (activators)	dCTP/dUTP metabolism	Not Directed
VTN	ITGA2B	ECM-receptor interaction	Not Directed
VEGF-D	VEGFR-3	Leukotriene 4 biosynthesis and metabolism	Not Directed
MAP3K7IP1	MAP3K7	MAPK signaling pathway	Not Directed
ICAM3	ITGB2	Cell adhesion molecules (CAMs)	Not Directed
SMAD2	CDKN2A	Cell cycle	Not Directed
Caspase-3	Dcc	Caspases cascade activation by granzyme and other signaling proteins	Not Directed
SPP1	ITGA9	ECM-receptor interaction	Not Directed
HD	CREBBP	Huntington's disease	Not Directed
VAV3	RAC2	Leukocyte transendothelial migration	Not Directed
NFKB1	BIRC2	Small cell lung cancer	Not Directed
NCK1	LCP2	T cell receptor signaling pathway	Not Directed
PKC-alpha	p47-phox	Leucine and lysine metabolism	Not Directed
Relaxin 2	LGR7	Gs-a Specific GPCRs  (in brain)	Not Directed
STS	"H(,2)O + 3beta-cholest-5-en-3-ol 3-sulfate = sulfate + 3beta-cholest-5-en-3-ol"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
ALG10B	ALG8	N-Glycan biosynthesis	Not Directed
PPARG	AQP7	PPAR signaling pathway	Not Directed
SMURF2	SMAD1	Peptidoglycan biosynthesis	Not Directed
MAPK8	FOS	Toll-like receptor signaling pathway	Not Directed
F9	F10	Complement and coagulation cascades	Not Directed
MAPK1	JUN	Renal cell carcinoma	Not Directed
AKT(PKB)	FOXO3A	Pleckstrin homology proteins interactions. Part I	Not Directed
JAK2	IRS-1	Arginine metabolism	Not Directed
AKT(PKB)	FOXO3A	Pleckstrin homology proteins interactions. Part VIII	Not Directed
"PtdIns(3,4,5)P3"	SPTBN(spectrin1-4)	Leucine and lysine metabolism	Not Directed
DBF4	CDC7	Cell cycle	Not Directed
CYP11A1	"17(R),20(R),22(R)-trihydroxycholesterol + [O]=  17alpha-hydroxypregnenolone+ 4-Methylpentanal"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
Erk (MAPK1/3)	IKK (cat)	Erk Interactions: Activation and selected Erk targets	Not Directed
CHUK	NFKBIA	Small cell lung cancer	Not Directed
PAK1	MAP2K1	Natural killer cell mediated cytotoxicity	Not Directed
SOS1	HRAS	Endometrial cancer	Not Directed
CDC2	PLK1	Cell cycle	Not Directed
"PtdIns(3,4,5)P3"	AKT(PKB)	Pleckstrin homology proteins interactions. Part I	Not Directed
MAPK8IP2	MAPK8	MAPK signaling pathway	Not Directed
IL1A	IL1R1	Cytokine-cytokine receptor interaction	Not Directed
TAS1R3	GNAS	Taste transduction	Not Directed
FLT3	CEBPA	Acute myeloid leukemia	Not Directed
ORC6L	ORC5L	Cell cycle	Not Directed
CHEK1	TP53	Cell cycle	Not Directed
HSP90 alpha	c-Raf-1	CoA biosynthesis	Not Directed
DIAPH1	200025	Regulation of actin cytoskeleton	Not Directed
PDCD1LG2	PDCD1	Cell adhesion molecules (CAMs)	Not Directed
SOS1	RASGRP1	T cell receptor signaling pathway	Not Directed
CSNK2A1	OCLN	Tight junction	Not Directed
NFKB1	NOS1	Small cell lung cancer	Not Directed
CDC6	ORC1L	Cell cycle	Not Directed
NFKB1	NFKBIA	Chronic myeloid leukemia	Not Directed
MCM6	MCM3	Cell cycle	Not Directed
HRAS	ARAF	ErbB signaling pathway	Not Directed
LEF1	MMP7	Wnt signaling pathway	Not Directed
"PtdIns(3,4,5)P3"	ARHGEF4	Pleckstrin homology proteins interactions. Part I	Not Directed
KIR3DL1	PTPN6	Natural killer cell mediated cytotoxicity	Not Directed
ZPK(MAP3K12)	MKK7 (MAP2K7)	"Histidine, proline, glutamate and glutamine metabolism"	Not Directed
NCKAP1	C3orf10	Regulation of actin cytoskeleton	Not Directed
KRAS	ARAF	Non-small cell lung cancer	Not Directed
KLKB1	KNG1	Complement and coagulation cascades	Not Directed
TAS1R3	GNAT3	Taste transduction	Not Directed
TAPBP	HLA-A	Antigen processing and presentation	Not Directed
RHOA	RAC1	Regulation of actin cytoskeleton	Not Directed
ALCAM	CD6	Cell adhesion molecules (CAMs)	Not Directed
CDK4	CCND1	Pancreatic cancer	Not Directed
ASK1 (MAP3K5)	MEK4(MAP2K4)	Histamine metabolism	Not Directed
EGF	EGFR	Glioma	Not Directed
IRF3	CXCL11	Toll-like receptor signaling pathway	Not Directed
PPARA	APOA1	PPAR signaling pathway	Not Directed
ITGAM	ITGB2	Leukocyte transendothelial migration	Not Directed
EGF	EGFR	Focal adhesion	Not Directed
CDK7	CDK2	Cell cycle	Not Directed
IL10	IL10RA	Cytokine-cytokine receptor interaction	Not Directed
NKX2-2	GCK	Maturity onset diabetes of the young	Not Directed
TRAF2	MAP3K1	MAPK signaling pathway	Not Directed
IGF-1 receptor	GRB10	Fatty acid oxidation II	Not Directed
ITGB1	PTK2	Focal adhesion	Not Directed
440915	ACTN4	Adherens junction	Not Directed
F12	KLKB1	Complement and coagulation cascades	Not Directed
CDK2	RB1	Prostate cancer	Not Directed
HCST	KLRK1	Natural killer cell mediated cytotoxicity	Not Directed
PRKCI	LLGL2	Tight junction	Not Directed
HRAS	RAC1	Renal cell carcinoma	Not Directed
GLI1	HHIP	Basal cell carcinoma	Not Directed
RB1	E2F1	Cell cycle	Not Directed
PI3K reg class IB (p101)	PI3K cat class IB (p110-gamma)	"A2BR signaling via G-protein beta/gamma dimer. Activation of PI3K, PLCB and PLA2"	Not Directed
NCK2	PTK2	Axon guidance	Not Directed
CSF2RB	IL5RA	Cytokine-cytokine receptor interaction	Not Directed
MAP3K8	MAP2K1	MAPK signaling pathway	Not Directed
ERBB2	PIK3R5	ErbB signaling pathway	Not Directed
CARD11	CHUK	B cell receptor signaling pathway	Not Directed
ASK1 (MAP3K5)	MEK4(MAP2K4)	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
RIPK2	Caspase-1	Caspases cascade activation by granzyme and other signaling proteins	Not Directed
MAP3K7IP2	CHUK	Toll-like receptor signaling pathway	Not Directed
Gab	CRK	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
FYN	CD247	Natural killer cell mediated cytotoxicity	Not Directed
p107	E2F1	Phospholipid metabolism II	Not Directed
NFKB1	CCL5	Epithelial cell signaling in Helicobacter pylori infection	Not Directed
FYN	CTNNB1	Adherens junction	Not Directed
TYROBP	KLRC2	Natural killer cell mediated cytotoxicity	Not Directed
1.1.1.239	"NAD('+) + 3alpha,5alpha-3,21-dihydroxy-pregnan-20-one = 5alpha-21-hydroxy-pregnan-3,20-dione + NADH"	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
SPTAN1	TJP2	Tight junction	Not Directed
SOS1	HRAS	GnRH signaling pathway	Not Directed
INHBA	TGFB1	TGF-beta signaling pathway	Not Directed
ARAF	MAP2K1	Melanoma	Not Directed
LTA	TNFRSF14	Cytokine-cytokine receptor interaction	Not Directed
NFKB1	IL6	Toll-like receptor signaling pathway	Not Directed
HRAS	FOS	B cell receptor signaling pathway	Not Directed
CSF2RB	IL3RA	Cytokine-cytokine receptor interaction	Not Directed
1.3.1.30	"NAD(P)H + 3beta-3,21-dihydroxy-pregn-5-en-20-one = NAD(P)('+) + 3alpha,5alpha-3,21-dihydroxy-pregnan-20-one"	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
RP11-145H9.1	MYL1	Regulation of actin cytoskeleton	Not Directed
CIITA	CREB1	Fatty acid synthesis I	Not Directed
Cullin 1	SKP1	Phospholipid metabolism II	Not Directed
EGFR	EGFR	ErbB signaling pathway	Not Directed
IFNG	SMAD6	TGF-beta signaling pathway	Not Directed
TJP1	440915	Tight junction	Not Directed
VCAM1	MSN	Leukocyte transendothelial migration	Not Directed
IL3	IL3RA	Cytokine-cytokine receptor interaction	Not Directed
FRAP1	HIF1A	mTOR signaling pathway	Not Directed
IL20	IL20RA	Cytokine-cytokine receptor interaction	Not Directed
HSD17B1	"NAD(P)('+) + 3alpha,5alpha-3-hydroxy-pregnan-20-one = NAD(P)H + 3alpha,5alpha,20S-pregnan-3,20-diol"	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
CD28	CD80	Cell adhesion molecules (CAMs)	Not Directed
CD34	SELL	Cell adhesion molecules (CAMs)	Not Directed
NKX2-2	IAPP	Maturity onset diabetes of the young	Not Directed
FYN	SHC2	Focal adhesion	Not Directed
HGF	MET	Renal cell carcinoma	Not Directed
PPARA	SCD	PPAR signaling pathway	Not Directed
RELN	ITGB1	ECM-receptor interaction	Not Directed
RHEB	FRAP1	Insulin signaling pathway	Not Directed
CTNNA1	CTNNB1	Leukocyte transendothelial migration	Not Directed
PIK3R5	RAC1	Leukocyte transendothelial migration	Not Directed
CDH1	CTNNB1	Adherens junction	Not Directed
WASF2	ARPC5	Regulation of actin cytoskeleton	Not Directed
CHAD	ITGA2	ECM-receptor interaction	Not Directed
DCC	DCC	Axon guidance	Not Directed
RASGRF2	Rac1	Pleckstrin homology proteins interactions. Part III	Not Directed
GAB3	GRB2	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
TNFRSF10D	FADD	Apoptosis	Not Directed
MSK1/2(RPS6KA5/4)	CREB1	dATP/dITP metabolism	Not Directed
HPIP	PBX	Role of PBX in fibroblasts signaling pathways	Not Directed
ANAPC10	CDC20	Cell cycle	Not Directed
TFPI	F5	Complement and coagulation cascades	Not Directed
CALML6	CAMK2A	Glioma	Not Directed
IL18	IL18R1	Cytokine-cytokine receptor interaction	Not Directed
CYP11B1	"17alpha-17-hydroxy-pregn-4-en-3,20-dione + reduced ferredoxin + O(,2) = H(,2)O + oxidized ferredoxin + 11beta,17alpha-11,17-dihydroxy-pregn-4-en-3,20-dione"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
GSK3B	CTNNB1	Wnt signaling pathway	Not Directed
F12	PLG	Complement and coagulation cascades	Not Directed
TLR5	MYD88	Toll-like receptor signaling pathway	Not Directed
IRAK3	MAP3K14	Apoptosis	Not Directed
JNK(MAPK8-10)	NF-AT4(NFATC3)	Polyamines metabolism	Not Directed
Csk	Hck	Gamma-aminobutyrate (GABA) metabolism	Not Directed
BCL10	IKBKG	B cell receptor signaling pathway	Not Directed
ITGB2	VAV3	Leukocyte transendothelial migration	Not Directed
CHUK	IKBKB	Epithelial cell signaling in Helicobacter pylori infection	Not Directed
BUB1B	ANAPC10	Cell cycle	Not Directed
THBS1	ITGA3	ECM-receptor interaction	Not Directed
RhoGAP4	MEKK1(MAP3K1)	Isoleucine and valine metabolism	Not Directed
PTK2	BCAR1	Focal adhesion	Not Directed
WNT5A	FZD2	G12a specific GPCRs (in brain)	Not Directed
PPARG	PLIN	PPAR signaling pathway	Not Directed
LY96	TLR4	Toll-like receptor signaling pathway	Not Directed
COL1A1	SDC1	ECM-receptor interaction	Not Directed
E2F1	RB1	Melanoma	Not Directed
CDC7	MCM4	Cell cycle	Not Directed
ACTN4	ITGB1	Focal adhesion	Not Directed
EGFR	IRS-2	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
CTNNA1	CTNNB1	Adherens junction	Not Directed
SNAP25	STX2	SNARE interactions in vesicular transport	Not Directed
PECAM1	PECAM1	Leukocyte transendothelial migration	Not Directed
CDK4	CCND1	Non-small cell lung cancer	Not Directed
MAP2K1	MAPK1	Glioma	Not Directed
NFKB1	IL8	Epithelial cell signaling in Helicobacter pylori infection	Not Directed
Csk	c-Src	"Regulation of fatty acid metabolic enzymes FACL, ACADM, FASN and SCD via adenosin receptor activation"	Not Directed
MC1R	GNAS	Melanogenesis	Not Directed
RAP1A	BRAF	MAPK signaling pathway	Not Directed
DVL1	GSK3B	Melanogenesis	Not Directed
ONECUT1	NEUROG3	Maturity onset diabetes of the young	Not Directed
SRC	RAC1	Adherens junction	Not Directed
CSNK2A1	CTNNB1	Adherens junction	Not Directed
MLLT4	RAP1A	Leukocyte transendothelial migration	Not Directed
MDM2	TP53	Prostate cancer	Not Directed
TFIIB	RNA polymerase II	Heme metabolism	Not Directed
F2	F11	Complement and coagulation cascades	Not Directed
DAXX	MAP3K5	MAPK signaling pathway	Not Directed
HBEGF	EGFR	GnRH signaling pathway	Not Directed
ICAM2	ITGAM	Cell adhesion molecules (CAMs)	Not Directed
Histone deacetylase class I	YY1	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
MAPK14	MAPKAPK3	VEGF signaling pathway	Not Directed
MCM7	MCM5	Cell cycle	Not Directed
MYC	CDKN2B	TGF-beta signaling pathway	Not Directed
GNA11	PLCB1	Calcium signaling pathway	Not Directed
KLRC3	CD94	Folic acid metabolism	Not Directed
SYK	GAB2	Fc epsilon RI signaling pathway	Not Directed
Filamin A	Kir2.1	Aminosugars metabolism	Not Directed
CCL2	CCR2	Cytokine-cytokine receptor interaction	Not Directed
ROBO3	ROBO1	Axon guidance	Not Directed
EGFR	PLCG1	ErbB signaling pathway	Not Directed
VAV3	RAC1	B cell receptor signaling pathway	Not Directed
AKT3	GSK3B	B cell receptor signaling pathway	Not Directed
ZYX	440915	Focal adhesion	Not Directed
TLR4	MYD88	Toll-like receptor signaling pathway	Not Directed
MAP3K7IP1	MAP3K7IP2	Toll-like receptor signaling pathway	Not Directed
TRIP10	SLC2A4	Insulin signaling pathway	Not Directed
CDK4	RB1	Melanoma	Not Directed
LIMK1	CFL1	Regulation of actin cytoskeleton	Not Directed
DDEF2(PAG3)	ARF1	Pleckstrin homology proteins interactions. Part II	Not Directed
TGFB3	TGFBR2	Cytokine-cytokine receptor interaction	Not Directed
PPP2CA	MAPK1	Long-term depression	Not Directed
IBSP	ITGB5	ECM-receptor interaction	Not Directed
EXOC7	RHOQ	Insulin signaling pathway	Not Directed
CYP21A2	"17alpha-17-hydroxy-pregn-4-en-3,20-dione + electron donor + O(,2) = H(,2)O + electron acceptor + 17alpha-17,21-dihydroxy-pregn-4-en-3,20-dione"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
IRAK3	MYD88	Apoptosis	Not Directed
CALML6	CAMK2A	Long-term potentiation	Not Directed
CLDN16	CLDN16	Cell adhesion molecules (CAMs)	Not Directed
MAPK8	JUN	Focal adhesion	Not Directed
PKA-cat (cAMP-dependent)	HSF1	dATP/dITP metabolism	Not Directed
MAP2K5	MAPK7	MAPK signaling pathway	Not Directed
GAPDH	HD	Huntington's disease	Not Directed
VTI1B	STX16	SNARE interactions in vesicular transport	Not Directed
TAS1R2	GNAT3	Taste transduction	Not Directed
"PtdIns(3,4,5)P3"	Cytohesin4	Pleckstrin homology proteins interactions. Part II	Not Directed
NFKBIA	NFKB1	Toll-like receptor signaling pathway	Not Directed
TP53	CDKN1A	Glioma	Not Directed
MAP3K7	CHUK	MAPK signaling pathway	Not Directed
MAP3K7IP2	IKBKB	Toll-like receptor signaling pathway	Not Directed
PTEN	PTK2	Focal adhesion	Not Directed
FES	PLXNA1	Axon guidance	Not Directed
SMO	STK36	Hedgehog signaling pathway	Not Directed
PARVB	ILK	Focal adhesion	Not Directed
CCNB3	PLK1	Cell cycle	Not Directed
1.1.1.210	"NAD(P)H + Pregn-4-en-3,20-dione = 20-hydroxy-pregn-4-en-3-one + NAD(P)('+)"	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
IL17A	IL17RA	Cytokine-cytokine receptor interaction	Not Directed
PPARA	SLC27A1	PPAR signaling pathway	Not Directed
PRKCB1	BCL10	B cell receptor signaling pathway	Not Directed
FASLG	TNFRSF6B	Cytokine-cytokine receptor interaction	Not Directed
"PtdIns(3,4,5)P3"	IRS-4	Phospholipid metabolism II	Not Directed
CD44	Hck	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
CDC20	ANAPC10	Cell cycle	Not Directed
ORC4L	ORC2L	Cell cycle	Not Directed
MAPK8	TP53	MAPK signaling pathway	Not Directed
MAPK8	NFATC2	MAPK signaling pathway	Not Directed
MSN	ICAM1	Leukocyte transendothelial migration	Not Directed
ARAF	MAP2K1	Colorectal cancer	Not Directed
CDK2	RB1	Small cell lung cancer	Not Directed
CCL11	CCR3	Cytokine-cytokine receptor interaction	Not Directed
ITGB1	PTK2	Small cell lung cancer	Not Directed
MAPK1	CSF2	Natural killer cell mediated cytotoxicity	Not Directed
HHEX (PRH)	eIF4E	N-Glycan biosynthesis	Not Directed
PPARG	SLC27A1	PPAR signaling pathway	Not Directed
1.3.1.30	"3alpha-hydroxy-4-pregnen-20-one + NAD(P)H = NAD(P)('+) + 3alpha,5alpha-3-hydroxy-pregnan-20-one"	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
MCM4	MCM2	Cell cycle	Not Directed
COL1A1	CD44	ECM-receptor interaction	Not Directed
MYL6	CGN	Tight junction	Not Directed
TFDP1	E2F4	TGF-beta signaling pathway	Not Directed
NFKB1	BCL2	Apoptosis	Not Directed
C5	C5AR1	Complement and coagulation cascades	Not Directed
MAX	CKS1B	Small cell lung cancer	Not Directed
ATM	CHEK1	Cell cycle	Not Directed
KRAS	GRB2	Dorso-ventral axis formation	Not Directed
RASA3	H-Ras	ATP/ITP metabolism	Not Directed
ITK	PLCG1	T cell receptor signaling pathway	Not Directed
IL1RAP	IL1R1	Cytokine-cytokine receptor interaction	Not Directed
PAK4	LIMK1	Axon guidance	Not Directed
TNFRSF1A	FADD	Apoptosis	Not Directed
p90RSK1	c-Fos	dATP/dITP metabolism	Not Directed
JAK2	IRS-2	A2BR signaling via G-beta/gamma dimer.  Activation of PH-domain proteins. (map 2)	Not Directed
PLK1	PKMYT1	Cell cycle	Not Directed
HSD3B1	"NAD('+) + 3beta,17alpha-3,17-dihydroxy-pregn-5-en-20-one = 17alpha-17-hydroxy-pregn-4-en-3,20-dione + NADH"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
RBP-J kappa (CBF1)	NFKBIA	Tryptophan metabolism	Not Directed
LYN	CD79B	B cell receptor signaling pathway	Not Directed
GNA13	PLA2G2D	Long-term depression	Not Directed
ORC3L	MCM6	Cell cycle	Not Directed
RXRA	CPT1C	PPAR signaling pathway	Not Directed
MIF	JAB1	IMP biosynthesis	Not Directed
CUL1	SKP1A	TGF-beta signaling pathway	Not Directed
F5	F10	Complement and coagulation cascades	Not Directed
DRD2	GNAI1	Gap junction	Not Directed
MAP3K7	IKBKB	Toll-like receptor signaling pathway	Not Directed
HPK1(MAP4K1)	TAK1(MAP3K7)	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
CDC42	WAS	Adherens junction	Not Directed
FASLG	FAS	Cytokine-cytokine receptor interaction	Not Directed
c-Src	BMX	dGTP/GTP/XTP metabolism	Not Directed
STAT1	SOCS4	Jak-STAT signaling pathway	Not Directed
DVL1	NOTCH1	Notch signaling pathway	Not Directed
LIMK1	CFL1	Axon guidance	Not Directed
TYROBP	SYK	Natural killer cell mediated cytotoxicity	Not Directed
MASP2	C4A	Complement and coagulation cascades	Not Directed
NRG1	ERBB3	ErbB signaling pathway	Not Directed
Rac1	PAK1	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
MEKK1(MAP3K1)	MEK1(MAP2K1)	Cholesterol metabolism III. Biosynthesis of bile acid	Not Directed
CDC25A	CDK4	Cell cycle	Not Directed
INHBA	ACVR2B	Cytokine-cytokine receptor interaction	Not Directed
CDC2	CCNA2	Cell cycle	Not Directed
HIP1	CASP8	Huntington's disease	Not Directed
SRC	GJA1	Gap junction	Not Directed
PLCG1	SH2D2A	VEGF signaling pathway	Not Directed
C1QA	C4A	Complement and coagulation cascades	Not Directed
SYK	LAT	Fc epsilon RI signaling pathway	Not Directed
